column_name,description,symbol,unit,type,example_value,nullable,group
id,Unique identifier for the specimen,,-,String,Wakabayashi_DIC 1-D1,False,Experimental program details
investigator,Names of researchers who conducted the study,,-,String,"Wakayabashi, Nakamura & Yoshida",False,Experimental program details
specimen_ID,Laboratory identification code for the specimen,,-,String,DIC 1-D1,False,Experimental program details
date,Year of the experiment,,-,SmallInteger,1977,False,Experimental program details
cross_section_shape,Shape of the brace cross-section,,-,String,I-shaped,False,Section properties
cross_section_size,Nominal dimensions of the cross-section,,-,String,50x50x6x6,False,Section properties
area,Cross-sectional area,,mm²,DecimalFloat,839,True,Section properties
d_br,Depth of the cross-section,,mm,DecimalFloat,50,True,Section properties
b_br,Width of the cross-section,,mm,DecimalFloat,50,True,Section properties
t_br,Thickness of the web/wall,,mm,DecimalFloat,6,True,Section properties
w_br,Thickness of the flange,,mm,DecimalFloat,6,True,Section properties
i_x,Strong-axis moment of inertia,,mm⁴,DecimalFloat,534700,True,Section properties
i_y,Weak-axis moment of inertia,,mm⁴,DecimalFloat,125900,True,Section properties
r_x,Strong-axis radius of gyration,,mm,DecimalFloat,25244.93,True,Section properties
r_y,Weak-axis radius of gyration,,mm,DecimalFloat,12249.88,True,Section properties
z_x,Strong-axis plastic section modulus,,mm³,DecimalFloat,20550,True,Section properties
z_y,Weak-axis plastic section modulus,,mm³,DecimalFloat,7950,True,Section properties
j,Torsional constant,,mm⁴,DecimalFloat,11412,True,Section properties
configuration,Bracing configuration type (SBF/DBF),,-,String,DBF,False,Specimen details
brace_angle,Angle between brace and beam,,degrees,DecimalFloat,45,True,Specimen details
l_b,Total length of brace,,mm,DecimalFloat,988,True,Specimen details
l_b_clear,Clear length of brace between connections,,mm,DecimalFloat,494,True,Specimen details
steel,Steel grade designation,,-,String,Annealed SS 41,False,Material properties
e,Young's modulus,,MPa,DecimalFloat,200000,True,Material properties
f_yn,Nominal yield strength,,MPa,DecimalFloat,235,True,Material properties
fy_m,Measured yield strength,,MPa,DecimalFloat,284,True,Material properties
f_um,Measured ultimate strength,,MPa,DecimalFloat,430,True,Material properties
boundary_condition,End conditions of the brace,,-,String,Fixed-fixed end,False,Specimen details
l_1t,Length of top gusset plate segment 1,,mm,String,na,True,Gusset plate dimensions
l_2t,Length of top gusset plate segment 2,,mm,String,na,True,Gusset plate dimensions
l_3t,Length of top gusset plate segment 3,,mm,String,na,True,Gusset plate dimensions
l_4t,Length of top gusset plate segment 4,,mm,DecimalFloat,na,True,Gusset plate dimensions
l_5t,Length of top gusset plate segment 5,,mm,String,na,True,Gusset plate dimensions
l_6t,Length of top gusset plate segment 6,,mm,String,na,True,Gusset plate dimensions
l_7t,Length of top gusset plate segment 7,,mm,String,na,True,Gusset plate dimensions
_8t,Length of top gusset plate segment 8,,mm,DecimalFloat,na,True,Gusset plate dimensions
t_t,Thickness of top gusset plate,,mm,DecimalFloat,12,True,Gusset plate dimensions
