variable,description,variable_type,units,comments
id,Unique ID for each experiment,string,NA,Equals: experimental_program(with underscores)+'_'+date+'_'+specimen_designation / Example: Engelhardt_et_al_2000_DBBWWPZ
experimental_program,Authors of the experimental program,string,NA,Example: Engelhardt et al.
date,Date of publication,integer,NA,Example: 2000
specimen_designation,Designation of the test specimen,string,NA,Example: DBBWWPZ
northridge,Connection detailing according to pre- or post-Northridge 1994 earthquake standards ,string,NA,Binary: Pre/Post
specimen_type,Interior or exterior connection/Beam or column loaded in case of subassembly testing/Subassembly or Frame testing,string,NA,"Examples: [Interior - Beam Loaded - Subassembly, Exterior - Frame]"
comments,Comments regarding loading protocol/stiffeners/retrofit/deficiencies/axial force,string,NA,NA
loading_protocol,Test loading protocol,string,NA,"Examples: [Symmetric Cyclic, Monotonic, Asymmetric, Ramped Symmetric Cyclic AISC]"
slab,Composite or bare connection test,string,NA,Binary: YES/NO
connection_type,Connection type,string,NA,"Examples: [WUF-W, WUF-B, RBS, BFP, WFP, KBB]"
t_pl,Plate thickness for BFP and WFP connections,float,mm,NA
rbs_cut,Reduction in flange area at RBS center (normalized to the flange width),float,NA,"Range: [0,1]"
s_h,Plastic hinge distance from the column face,float,mm,NA
d_h,Shift of the beam effective depth due to presence of hanches,float,mm,NA
section_b,Section name of steel beam,string,NA,"Examples: [IPE 360, W36x150, H-400x200x8x13, build up H section]"
d_b,Depth of steel beam,float,mm,NA
d_bg,Distance from steel beam top fibre to its center of gravity,float,mm,Equals: d_b/2
t_bw,Thickness of steel beam web,float,mm,NA
b_bf,Width of steel beam flange,float,mm,NA
t_bf,Thickness of steel beam flange,float,mm,NA
r_b,Fillet radius of steel beam,float,mm,NA
a_b,Cross-sectional area of steel beam,float,mm2,NA
i_xb,Second moment of area of steel beam about major axis,float,mm4,NA
z_xb,Plastic section modulus of steel beam about major axis,float,mm3,NA
z_xb_bfp,Plastic section modulus of BFP steel beam about major axis,float,mm3,NA
r_yb,Minor axis radius of gyration of steel beam,float,mm,NA
b_fb_rbs,Width of steel beam flange at RBS center,float,mm,NA
d_gb_rbs,Distance from steel beam top fibre to its center of gravity at RBS center,float,mm,NA
a_b_rbs,Cross-sectional area of RBS steel beam,float,mm2,NA
i_xb_rbs,Second moment of area of RBS steel beam about major axis,float,mm4,NA
z_xb_rbs,Plastic section modulus of RBS steel beam about major axis,float,mm3,NA
d_bm,Depth of steel beam (measured),float,mm,NA
d_bgm,Distance from steel beam top fibre to its center of gravity (measured),float,mm,Equals: d_bm/2
t_bwm,Thickness of steel beam web (measured),float,mm,NA
b_bfm,Width of steel beam flange (measured),float,mm,NA
t_bfm,Thickness of steel beam flange (measured),float,mm,NA
z_xbm,Plastic section modulus of steel beam about major axis (measured),float,mm3,NA
steel_b,,,,
f_yb,,,,
f_ybw,,,,
f_ybf,,,,
f_yb_mill,,,,
f_yb_avg,,,,
l_b,,,,
l_fc,,,,
l_o,,,,
lo_db,,,,
section_c,,,,
d_c,,,,
t_cw,,,,
b_cf,,,,
c_c,,,,
t_cf,,,,
r_c,,,,
a_c,,,,
i_xc,,,,
d_cm,,,,
t_wcm,,,,
c_cm,,,,
b_fcm,,,,
t_fcm,,,,
steel_c,,,,
f_yc,,,,
f_ydp,,,,
f_ycw,,,,
f_ycf,,,,
f_yc_mill,,,,
fyc_avg,,,,
h_c,,,,
backing_bar,,,,
electrode,,,,
d_electrode,,,,
cvn_0f,,,,
cvn_minus20f,,,,
cvn_70f,,,,
access_hole_geometry,,,,
w,,,,
w_l,,,,
w_r,,,,
h_t,,,,
a_s,,,,
f_sk,,,,
f_sm,,,,
h_co,,,,
slab_con_type,,,,
f_ck,,,,
f_cm,,,,
cur_days,,,,
f_c_compr_calc,,,,
d,,,,
h_sc,,,,
n_studs,,,,
n_diss,,,,
n_r,,,,
f_u_sc,,,,
h_p,,,,
b_o,,,,
deck_ribs_orientation,,,,
section_shape_c,,,,
d_pz,,,,
tw_pz,,,,
bf_pz,,,,
tf_pz,,,,
dz,,,,
zw,,,,
dz_plug,,,,
wz_plug,,,,
wd,,,,
n_dp,,,,
t_dp,,,,
t_dp_tot,,,,
t_p,,,,
t_cp,,,,
d_cp,,,,
db_plus,,,,
db_minus,,,,
a_vc,,,,
fy_pz_m,,,,
p_cm,,,,
n_pm,,,,
v_pz_el_m_europe,,,,
r_n_el_m_aisc,,,,
r_n_pl_m_aisc,,,,
v_pz_m_aij,,,,
fy_pz_n,,,,
p_cn,,,,
n_pn,,,,
v_pz_el_n_europe,,,,
r_n_el_n_aisc,,,,
r_n_pl_n_aisc,,,,
v_pz_n_aij,,,,
m_cf_minus_n,,,,
m_cf_plus_n,,,,
m_cf_minus_m,,,,
m_cf_plus_m,,,,
v_bf_plus_n,,,,
v_bf_minus_n,,,,
v_col_n,,,,
r_u_n,,,,
r_u_m,,,,
ru_rn_el_n,,,,
ru_rn_pl_n,,,,
aisc_pz_violation_n,,,,
ru_rn_el_m,,,,
ru_rn_pl_m,,,,
aisc_pz_violation_m,,,,
g_max,,,,
g_y,,,,
g_max_g_y,,,,
reference,,,,
link,,,,
latitude,,,,
longitude,,,,
