e_true,Sigma_true
2.86E-06,0.083996328
2.28E-06,-0.057003196
2.72E-06,0.040628251
3.50E-06,-0.025049942
3.08E-06,0.032702891
2.86E-06,-0.04081156
2.76E-06,0.014741711
1.33E-06,-0.019540942
0.000217423,43.82333382
0.000432923,87.35462888
0.000657795,131.423503
0.00088174,175.0004469
0.001105651,218.5769863
0.0013352,263.3765907
0.001560674,306.28831
0.002041495,348.7268045
0.002134056,349.3208215
0.003124233,345.8069535
0.005780497,346.3031
0.013696375,390.6939185
0.019964913,422.0317543
0.020588523,433.1188308
0.031099972,477.9875251
0.038449218,502.2621456
0.039605021,505.6928459
0.039971616,505.2239645
0.040120909,492.5120627
0.039185191,307.7088254
0.037750029,72.70438523
0.036128667,-122.2143562
0.033458788,-261.8925872
0.031821626,-304.4718666
0.02943689,-344.9876737
0.025918231,-383.2419234
0.021597179,-414.7530652
0.016104343,-443.5218352
0.007796456,-476.0073975
-0.000980059,-502.3730859
-0.014273791,-533.0817985
-0.027362349,-557.3318851
-0.039377201,-574.3426001
-0.039791961,-574.9546688
-0.040057433,-568.9183565
-0.040106949,-562.2615904
-0.039377198,-396.8337407
-0.037024319,-9.91035849
-0.035165345,190.485308
-0.033496809,285.009062
-0.031127895,355.7357121
-0.028137748,403.7381118
-0.024383033,438.3803811
-0.021505706,456.5350704
-0.017398768,475.7972059
-0.013336138,490.6445201
-0.007258638,508.018778
0.005554106,535.2249639
0.023305826,562.7571262
0.042295382,586.4954514
0.065807604,608.4397104
0.098251511,631.0614594
0.124743887,645.5172584
