e_true,Sigma_true
0.000000,0.000000
0.001480,91.250981
0.002888,178.062621
0.004155,256.211549
0.005220,321.895837
0.006031,371.919956
0.006549,403.850244
0.006748,416.133298
0.006619,408.171549
0.006168,380.352337
0.005417,334.029059
0.004402,271.455334
0.003173,195.675361
0.001790,110.375821
0.000320,19.706520
-0.001166,-71.921500
-0.002595,-160.050554
-0.003898,-240.393180
-0.005011,-309.040725
-0.005881,-362.653501
-0.006464,-398.623257
-0.006733,-415.200070
-0.006674,-411.577483
-0.006291,-387.931734
-0.005601,-345.413183
-0.004639,-286.090349
-0.003452,-212.849278
-0.002096,-129.253131
-0.000638,-39.368845
0.000850,52.430727
0.002298,141.679555
0.003633,224.035701
0.004792,295.492554
0.005717,352.573754
0.006365,392.502311
0.006703,413.335709
0.006714,414.060407
0.006400,394.641149
0.005773,356.022677
0.004866,300.083774
0.003722,229.545854
0.002397,147.840575
0.000956,58.942881
-0.000532,-32.822372
-0.001994,-122.990823
-0.003360,-207.175796
-0.004561,-281.281707
-0.005541,-341.703319
-0.006251,-385.501133
-0.006657,-410.544394
-0.006740,-415.614752
-0.006494,-400.465535
-0.005932,-365.833750
-0.005082,-313.404225
-0.003985,-245.727648
-0.002693,-166.096470
-0.001271,-78.384731
0.000426,26.280818
0.003374,208.052541
0.006157,379.702550
0.008641,532.880106
0.010705,578.715978
0.012248,590.132502
0.013195,597.139773
0.013500,599.396888
0.013148,577.706484
0.012156,516.571617
0.010574,418.966486
0.008476,289.639561
0.005967,134.882570
0.003167,-37.775589
0.000213,-219.935131
-0.002751,-402.734031
-0.005582,-540.804238
-0.008141,-559.740210
-0.010303,-575.745508
-0.011965,-588.041478
-0.013045,-596.029922
-0.013489,-599.322205
-0.013278,-586.288475
-0.012421,-533.419414
-0.010959,-443.287090
-0.008964,-320.276425
-0.006534,-170.371861
-0.003785,-0.866226
-0.000852,179.994064
0.002122,363.410193
0.004993,536.451540
0.007622,555.899712
0.009879,572.604049
0.011656,585.751889
0.012865,594.703592
0.013449,599.023659
0.013379,594.675832
0.012657,550.191142
0.011320,467.733759
0.009432,351.315218
0.007086,206.599260
0.004394,40.626285
0.001489,-138.529153
-0.001489,-322.151178
-0.004394,-501.306617
-0.007086,-551.932731
-0.009432,-569.298646
-0.011320,-583.268871
-0.012657,-593.163757
-0.013379,-598.501920
-0.013449,-599.023659
-0.012865,-563.023101
-0.011656,-488.425579
-0.009879,-378.860246
-0.007622,-239.657435
-0.004993,-77.589335
-0.002122,99.459475
0.001278,309.143323
0.005677,541.511231
0.009800,572.022245
0.013447,599.005067
0.016439,621.146987
0.018631,637.370805
0.019917,646.887236
0.020234,649.233307
0.019567,608.079773
0.017948,508.224220
0.015455,354.524602
0.012211,154.458375
0.008372,-82.241281
0.004127,-344.058973
-0.000320,-501.865568
-0.004751,-534.654286
-0.008950,-565.732755
-0.012715,-593.589013
-0.015861,-616.867859
-0.018235,-634.436783
-0.019722,-645.441059
-0.020249,-649.345332
-0.019792,-621.131391
-0.018371,-533.540508
-0.016057,-390.833960
-0.012962,-199.954393
-0.009236,29.811941
-0.005061,287.286954
-0.000639,494.769453
0.003813,527.718503
0.008080,559.294729
0.011954,587.961953
0.015247,612.325521
0.017797,631.200150
0.019482,643.667593
0.020219,649.121311
0.019972,633.910237
0.018754,558.780455
0.016623,427.387013
0.013684,246.122176
0.010079,23.804443
0.005983,-228.750475
0.001597,-487.683946
-0.002867,-520.719437
-0.007192,-552.722607
-0.011167,-582.136508
-0.014599,-607.530159
-0.017320,-627.668164
-0.019199,-641.570813
-0.020143,-648.561746
-0.020108,-646.387652
-0.019095,-583.887459
-0.017152,-464.101788
-0.014375,-292.858189
-0.010899,-78.487628
-0.006893,168.580809
-0.002551,436.327292
0.002554,518.397046
0.008384,561.541503
0.013806,601.667653
0.018557,636.823368
0.022405,665.298328
0.025163,685.707232
0.026697,697.057192
0.026932,698.796034
0.025857,632.488780
0.023523,488.609758
0.020046,274.158654
0.015593,-0.431529
0.010382,-321.802032
0.004665,-464.977680
-0.001278,-508.959129
-0.007160,-552.480394
-0.012692,-593.424173
-0.017608,-629.798560
-0.021667,-659.833948
-0.024672,-682.069122
-0.026476,-695.422344
-0.026992,-699.243983
-0.026196,-650.111767
-0.024125,-522.390617
-0.020880,-322.294139
-0.016619,-59.556989
-0.011550,253.038725
-0.005919,455.699529
-0.000000,499.500000
