e_true,Sigma_true
0.000000,0.000000
0.001206,74.352651
0.002353,145.088061
0.003385,208.764966
0.004253,262.285497
0.004914,303.045890
0.005336,329.063161
0.005498,339.071576
0.005393,332.584226
0.005026,309.916719
0.004414,272.171826
0.003587,221.185828
0.002586,159.439183
0.001458,89.935854
0.000260,16.057164
-0.000950,-58.602704
-0.002115,-130.411562
-0.003176,-195.875924
-0.004083,-251.810961
-0.004792,-295.495445
-0.005267,-324.804135
-0.005486,-338.311168
-0.005438,-335.359431
-0.005126,-316.092524
-0.004564,-281.447779
-0.003780,-233.110655
-0.002812,-173.432745
-0.001708,-105.317366
-0.000520,-32.078318
0.000693,42.721333
0.001872,115.442600
0.002960,182.547608
0.003904,240.771711
0.004659,287.282318
0.005186,319.816698
0.005461,336.792059
0.005471,337.382554
0.005214,321.559454
0.004704,290.092552
0.003965,244.512704
0.003033,187.037363
0.001953,120.462691
0.000779,48.027533
-0.000434,-26.744155
-0.001625,-100.214745
-0.002737,-168.809908
-0.003717,-229.192502
-0.004515,-278.424927
-0.005094,-314.112034
-0.005425,-334.517654
-0.005492,-338.649057
-0.005291,-326.305251
-0.004834,-298.086759
-0.004141,-255.366406
-0.003247,-200.222528
-0.002195,-135.337864
-0.001036,-63.869040
0.000347,21.414000
0.002749,169.524293
0.005017,309.387263
0.007041,434.198605
0.008722,471.546352
0.009980,480.848705
0.010751,486.558333
0.011000,488.397464
0.010713,470.723802
0.009905,420.910207
0.008616,341.380100
0.006907,236.002605
0.004862,109.904316
0.002581,-30.780109
0.000174,-179.206403
-0.002242,-328.153655
-0.004548,-440.655305
-0.006633,-456.084616
-0.008395,-469.125970
-0.009749,-479.144908
-0.010629,-485.654011
-0.010991,-488.336611
-0.010819,-477.716535
-0.010121,-434.638041
-0.008930,-361.196888
-0.007304,-260.965976
-0.005324,-138.821516
-0.003084,-0.705814
-0.000694,146.661830
0.001729,296.112009
0.004069,437.108662
0.006210,452.955321
0.008049,466.566262
0.009497,477.279317
0.010483,484.573297
0.010959,488.093352
0.010901,484.550678
0.010313,448.303893
0.009224,381.116396
0.007686,286.256845
0.005773,168.340138
0.003580,33.102899
0.001213,-112.875606
-0.001213,-262.493553
-0.003580,-408.472058
-0.005773,-449.722966
-0.007686,-463.872971
-0.009224,-475.256117
-0.010313,-483.318617
-0.010901,-487.668231
-0.010959,-488.093352
-0.010483,-458.759564
-0.009497,-397.976397
-0.008049,-308.700941
-0.006210,-195.276429
-0.004069,-63.220939
-0.001729,81.041054
0.001041,251.894559
0.004626,441.231373
0.007985,466.092200
0.010957,488.078203
0.013395,506.119767
0.015181,519.339174
0.016229,527.093303
0.016487,529.004917
0.015943,495.472408
0.014624,414.108624
0.012593,288.871898
0.009950,125.854972
0.006822,-67.011414
0.003363,-280.344348
-0.000260,-408.927500
-0.003871,-435.644233
-0.007293,-460.967430
-0.010360,-483.665122
-0.012923,-502.633071
-0.014858,-516.948490
-0.016070,-525.914937
-0.016499,-529.096196
-0.016127,-506.107060
-0.014969,-434.736710
-0.013084,-318.457300
-0.010562,-162.925801
-0.007526,24.291211
-0.004124,234.085666
-0.000521,403.145480
0.003107,429.992854
0.006584,455.721631
0.009741,479.080110
0.012423,498.931906
0.014502,514.311233
0.015874,524.469890
0.016475,528.913661
0.016274,516.519452
0.015281,455.302593
0.013545,348.241270
0.011150,200.543995
0.008212,19.396212
0.004875,-186.389276
0.001301,-397.372104
-0.002336,-424.289912
-0.005860,-450.366569
-0.009099,-474.333451
-0.011895,-495.024574
-0.014113,-511.433319
-0.015643,-522.761404
-0.016413,-528.457719
-0.016384,-526.686235
-0.015559,-475.760152
-0.013976,-378.157013
-0.011713,-238.625191
-0.008881,-63.952882
-0.005616,137.362141
-0.002078,355.525942
0.002081,422.397593
0.006831,457.552336
0.011250,490.247717
0.015121,518.893114
0.018256,542.094934
0.020503,558.724411
0.021753,567.972527
0.021945,569.389361
0.021068,515.361228
0.019167,398.126469
0.016334,223.388533
0.012705,-0.351616
0.008459,-262.209063
0.003801,-378.870702
-0.001042,-414.707439
-0.005834,-450.169210
-0.010342,-483.530808
-0.014347,-513.169197
-0.017654,-537.642476
-0.020103,-555.760025
-0.021573,-566.640428
-0.021994,-569.754356
-0.021345,-529.720699
-0.019657,-425.651614
-0.017013,-262.610039
-0.013542,-48.527917
-0.009411,206.179701
-0.004823,371.310727
-0.000000,407.000000
