e_true,Sigma_true
0.000000,0.000000
0.001041,64.213654
0.002032,125.303326
0.002924,180.297016
0.003673,226.519292
0.004244,261.721450
0.004609,284.190912
0.004749,292.834543
0.004658,287.231831
0.004340,267.655348
0.003812,235.057486
0.003098,191.024124
0.002233,137.697477
0.001260,77.671874
0.000225,13.867551
-0.000821,-50.611426
-0.001826,-112.628168
-0.002743,-169.165571
-0.003527,-217.473103
-0.004138,-255.200612
-0.004549,-280.512662
-0.004738,-292.177827
-0.004697,-289.628599
-0.004427,-272.988998
-0.003942,-243.068536
-0.003265,-201.322838
-0.002429,-149.782825
-0.001475,-90.955907
-0.000449,-27.704002
0.000598,36.895697
0.001617,99.700428
0.002557,157.654752
0.003372,207.939205
0.004023,248.107457
0.004479,276.205330
0.004717,290.865869
0.004725,291.375842
0.004503,277.710438
0.004063,250.534477
0.003424,211.170063
0.002619,161.532268
0.001687,104.035960
0.000673,41.478324
-0.000375,-23.097225
-0.001403,-86.549098
-0.002364,-145.790375
-0.003210,-197.938979
-0.003899,-240.457891
-0.004399,-271.278575
-0.004685,-288.901611
-0.004743,-292.469640
-0.004570,-281.809080
-0.004175,-257.438565
-0.003576,-220.543714
-0.002804,-172.919456
-0.001895,-116.882701
-0.000894,-55.159626
0.000300,18.493909
0.002374,146.407344
0.004333,267.198091
0.006081,374.989704
0.007533,407.244577
0.008619,415.278427
0.009285,420.209470
0.009500,421.797810
0.009252,406.534193
0.008555,363.513360
0.007441,294.828268
0.005965,203.820432
0.004199,94.917364
0.002229,-26.582822
0.000150,-154.769166
-0.001936,-283.405429
-0.003928,-380.565945
-0.005729,-393.891259
-0.007251,-405.154247
-0.008420,-413.806966
-0.009180,-419.428464
-0.009493,-421.745255
-0.009344,-412.573371
-0.008741,-375.369217
-0.007712,-311.942767
-0.006308,-225.379706
-0.004598,-119.891310
-0.002663,-0.609567
-0.000600,126.662489
0.001494,255.733099
0.003514,377.502936
0.005363,391.188686
0.006952,402.943590
0.008202,412.195774
0.009053,418.495120
0.009464,421.535167
0.009415,418.475586
0.008907,387.171544
0.007966,329.145978
0.006638,247.221820
0.004986,145.384664
0.003092,28.588868
0.001048,-97.483478
-0.001048,-226.698977
-0.003092,-352.771323
-0.004986,-388.397107
-0.006638,-400.617566
-0.007966,-410.448465
-0.008907,-417.411533
-0.009415,-421.168018
-0.009464,-421.535167
-0.009053,-396.201442
-0.008202,-343.706889
-0.006952,-266.605358
-0.005363,-168.647825
-0.003514,-54.599902
-0.001494,69.990001
0.000899,217.545301
0.003995,381.063459
0.006897,402.534173
0.009462,421.522084
0.011568,437.103435
0.013111,448.520196
0.014016,455.216944
0.014239,456.867883
0.013769,427.907988
0.012630,357.639266
0.010876,249.480276
0.008593,108.692930
0.005892,-57.873494
0.002904,-242.115573
-0.000225,-353.164659
-0.003343,-376.238201
-0.006298,-398.108235
-0.008947,-417.710787
-0.011161,-434.092197
-0.012832,-446.455514
-0.013878,-454.199264
-0.014250,-456.946715
-0.013928,-437.092460
-0.012928,-375.454431
-0.011300,-275.031305
-0.009121,-140.708647
-0.006499,20.978773
-0.003561,202.164894
-0.000450,348.171096
0.002683,371.357465
0.005686,393.577772
0.008412,413.751004
0.010729,430.895737
0.012524,444.177883
0.013710,452.951269
0.014228,456.789070
0.014055,446.084982
0.013197,393.215876
0.011698,300.753824
0.009629,173.197087
0.007093,16.751274
0.004210,-160.972556
0.001124,-343.184999
-0.002018,-366.432197
-0.005061,-388.952946
-0.007858,-409.651616
-0.010273,-427.521223
-0.012188,-441.692412
-0.013510,-451.475758
-0.014175,-456.395303
-0.014150,-454.865385
-0.013437,-410.883767
-0.012070,-326.590147
-0.010116,-206.085392
-0.007670,-55.232035
-0.004850,118.630940
-0.001795,307.045132
0.001797,364.797921
0.005900,395.158835
0.009716,423.395756
0.013059,448.134962
0.015767,468.172897
0.017707,482.534719
0.018787,490.521728
0.018952,491.745357
0.018195,445.084697
0.016554,343.836496
0.014106,192.926460
0.010973,-0.303668
0.007306,-226.453282
0.003283,-327.206515
-0.000900,-358.156424
-0.005038,-388.782500
-0.008932,-417.594789
-0.012391,-443.191580
-0.015247,-464.327593
-0.017361,-479.974567
-0.018631,-489.371279
-0.018995,-492.060580
-0.018434,-457.486058
-0.016977,-367.608212
-0.014693,-226.799579
-0.011695,-41.910474
-0.008128,178.064288
-0.004165,320.677446
-0.000000,351.500000
