e_true,Sigma_true
0.000000,0.000000
0.001589,98.010313
0.003101,191.252444
0.004463,275.190182
0.005607,345.739973
0.006478,399.469582
0.007034,433.765077
0.007248,446.957986
0.007109,438.406479
0.006625,408.526584
0.005818,358.771952
0.004728,291.563137
0.003408,210.169833
0.001922,118.551808
0.000343,21.166262
-0.001253,-77.249019
-0.002788,-171.906150
-0.004187,-258.200082
-0.005383,-331.932631
-0.006316,-389.516724
-0.006943,-428.150905
-0.007232,-445.955631
-0.007169,-442.064704
-0.006757,-416.667418
-0.006016,-370.999344
-0.004983,-307.282227
-0.003707,-228.615891
-0.002251,-138.827437
-0.000686,-42.285056
0.000913,56.314485
0.002468,152.174337
0.003902,240.630938
0.005147,317.380892
0.006141,378.690328
0.006836,421.576556
0.007199,443.953169
0.007212,444.731548
0.006874,423.873826
0.006201,382.394727
0.005227,322.312201
0.003998,246.549251
0.002575,158.791729
0.001027,63.309021
-0.000572,-35.253659
-0.002142,-132.101255
-0.003608,-222.522151
-0.004899,-302.117389
-0.005952,-367.014676
-0.006714,-414.056773
-0.007151,-440.955090
-0.007239,-446.401030
-0.006975,-430.129649
-0.006372,-392.932546
-0.005459,-336.619353
-0.004280,-263.929696
-0.002893,-178.399912
-0.001365,-84.191008
0.000458,28.227545
0.003624,223.463841
0.006613,407.828665
0.009281,572.352706
0.011498,621.583828
0.013155,633.846021
0.014172,641.372348
0.014500,643.796657
0.014122,620.499557
0.013057,554.836182
0.011357,450.001041
0.009104,311.094343
0.006409,144.873872
0.003402,-40.573780
0.000229,-236.226622
-0.002955,-432.566181
-0.005995,-580.863811
-0.008744,-601.202448
-0.011067,-618.393324
-0.012851,-631.600106
-0.014011,-640.180287
-0.014489,-643.716442
-0.014262,-629.717251
-0.013341,-572.931963
-0.011771,-476.123171
-0.009628,-344.000604
-0.007018,-182.991999
-0.004065,-0.930391
-0.000915,193.326958
0.002280,390.329466
0.005363,576.188691
0.008186,597.077469
0.010611,615.019164
0.012519,629.140918
0.013818,638.755710
0.014445,643.395782
0.014370,638.725894
0.013595,590.946041
0.012159,502.380704
0.010131,377.338568
0.007610,221.902909
0.004720,43.635640
0.001599,-148.790571
-0.001599,-346.014229
-0.004720,-538.440440
-0.007610,-592.816637
-0.010131,-611.468916
-0.012159,-626.473972
-0.013595,-637.101813
-0.014370,-642.835395
-0.014445,-643.395782
-0.013818,-604.728516
-0.012519,-524.605251
-0.010611,-406.923968
-0.008186,-257.409838
-0.005363,-83.336693
-0.002280,106.826843
0.001373,332.042828
0.006098,581.623174
0.010526,614.394264
0.014443,643.375812
0.017656,667.157875
0.020011,684.583457
0.021393,694.804809
0.021733,697.324663
0.021016,653.122719
0.019277,545.870459
0.016600,380.785684
0.013115,165.899736
0.008993,-88.333227
0.004432,-369.544822
-0.000343,-539.040796
-0.005102,-574.258307
-0.009613,-607.638884
-0.013657,-637.558569
-0.017035,-662.561775
-0.019585,-681.432100
-0.021183,-693.251508
-0.021749,-697.444986
-0.021258,-667.141124
-0.019732,-573.062027
-0.017247,-419.784623
-0.013922,-214.765829
-0.009920,32.020233
-0.005436,308.567469
-0.000687,531.419042
0.004096,566.808763
0.008679,600.723968
0.012840,631.514691
0.016376,657.682967
0.019116,677.955717
0.020925,691.346673
0.021717,697.204371
0.021452,680.866551
0.020143,600.171600
0.017855,459.045310
0.014698,264.353449
0.010825,25.567735
0.006427,-245.694954
0.001715,-523.808683
-0.003080,-559.291247
-0.007725,-593.665022
-0.011994,-625.257730
-0.015680,-652.532392
-0.018603,-674.162102
-0.020621,-689.094577
-0.021636,-696.603357
-0.021598,-694.268219
-0.020509,-627.138382
-0.018423,-498.479698
-0.015440,-314.551388
-0.011706,-84.301527
-0.007403,181.068276
-0.002740,468.647832
0.002743,556.796827
0.009005,603.137170
0.014829,646.235628
0.019932,683.995469
0.024065,714.579685
0.027027,736.500361
0.028674,748.691058
0.028927,750.558703
0.027772,679.339800
0.025266,524.803073
0.021531,294.466702
0.016748,-0.463494
0.011151,-345.639220
0.005011,-499.420471
-0.001373,-546.659806
-0.007690,-593.404868
-0.013633,-637.381520
-0.018912,-676.450306
-0.023272,-708.710537
-0.026499,-732.592760
-0.028437,-746.935110
-0.028992,-751.039833
-0.028136,-698.268194
-0.025912,-561.086218
-0.022426,-346.167779
-0.017850,-63.968618
-0.012406,271.782334
-0.006357,489.455050
-0.000000,536.500000
